"today","region","sex","age","married","christ","children","education","gaccra","pay_bribe","surveyChoice","rand_number","rand_number6","rand_number2_2","rand_number2_3","rand_number2_4","rand_number2_5","rand_number2_6","gender","corrupt","financial_pressure","john","ethnic_1","ethnic_2","ethnic_3","ethnic_4","ethnic_5","ethnic_6","ethnic_7","ethnic_8","ethnic_9","ethnic_10","ethnic_11","ethnic_12","ethnic_13","ethnic_14","ethnic_15","ethnic_16","ethnic_17","ethnic_18","ethnic_19","ethnic_20","ethnic_21"
"18-Sep-17",3,0,48,1,1,7,1,0,NA,3,NA,0.665848346,NA,0.658548308,NA,NA,NA,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"18-Sep-17",3,1,35,0,1,3,5,0,NA,5,NA,0.740483032,NA,NA,NA,0.17200021,NA,1,7,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"18-Sep-17",3,0,23,1,1,2,1,0,NA,3,NA,0.19551162,NA,0.268484395,NA,NA,NA,1,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"18-Sep-17",3,0,45,1,1,6,1,0,NA,4,NA,0.347222159,NA,NA,0.878399428,NA,NA,1,7,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",3,1,52,1,1,4,3,0,NA,4,NA,0.533745084,NA,NA,0.609182451,NA,NA,5,3,450,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",3,0,30,0,1,1,1,0,1,6,NA,0.79777149,NA,NA,NA,NA,0.011803648,4,4,200,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",3,1,26,0,1,3,1,0,1,1,0.509554337,0.126836109,NA,NA,NA,NA,NA,1,7,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",3,0,36,1,1,4,5,0,1,2,NA,0.714314689,0.312415957,NA,NA,NA,NA,1,7,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",1,1,36,1,1,3,4,1,NA,6,NA,0.559078303,NA,NA,NA,NA,0.071303723,3,5,550,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",1,1,29,0,1,2,4,1,NA,4,NA,0.911845901,NA,NA,0.929815222,NA,NA,1,7,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",1,1,27,0,1,0,6,1,NA,5,NA,0.24439648,NA,NA,NA,0.140763402,NA,1,7,200,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"18-Sep-17",1,0,22,1,1,0,5,1,NA,1,0.461984035,0.010478782,NA,NA,NA,NA,NA,1,7,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
